age,job,education,balance,contact,deposit
92,retired,tertiary,1810.98,cellular,no
73,technician,secondary,951.28,cellular,yes
34,technician,secondary,854.12,cellular,yes
55,unemployed,secondary,1763.81,cellular,no
41,technician,unknown,1148.79,cellular,no
86,management,secondary,5442.17,cellular,yes
87,entrepreneur,secondary,782.22,unknown,yes
28,blue-collar,secondary,2607.1,cellular,yes
33,services,primary,827.5,cellular,yes
90,blue-collar,tertiary,1395.78,cellular,no
76,admin.,tertiary,4980.33,unknown,no
87,blue-collar,secondary,1559.18,unknown,no
20,management,secondary,176.09,unknown,no
37,blue-collar,primary,6751.87,telephone,no
76,self-employed,primary,512.03,cellular,no
53,unknown,primary,2236.65,cellular,yes
36,housemaid,primary,2517.19,unknown,yes
84,management,primary,929.41,unknown,no
36,services,tertiary,312.56,unknown,no
37,management,primary,621.98,cellular,no
88,blue-collar,tertiary,2916.71,cellular,no
69,entrepreneur,secondary,5528.18,cellular,yes
50,technician,secondary,1247.93,cellular,yes
57,housemaid,unknown,282.09,cellular,no
56,blue-collar,secondary,3379.29,unknown,no
18,student,primary,1818.76,cellular,yes
28,entrepreneur,secondary,1954.68,cellular,yes
74,technician,secondary,1567.61,telephone,yes
67,admin.,secondary,3415.06,cellular,yes
40,admin.,secondary,1971.18,cellular,yes
48,services,secondary,5809.36,unknown,yes
59,retired,secondary,1422.3,unknown,yes
24,blue-collar,primary,3694.81,cellular,no
33,housemaid,secondary,1101.97,unknown,yes
77,retired,secondary,1676.65,cellular,no
19,admin.,secondary,897.85,unknown,no
18,technician,tertiary,3228.08,cellular,yes
65,admin.,tertiary,2210.22,cellular,yes
29,services,tertiary,956.95,cellular,yes
86,management,secondary,2819.75,unknown,yes
54,admin.,secondary,1824.1,unknown,yes
49,services,tertiary,1923.82,unknown,yes
26,technician,primary,6955.25,cellular,yes
36,retired,secondary,1257.55,unknown,no
65,management,secondary,517.49,cellular,no
20,management,secondary,641.94,cellular,no
37,management,secondary,2747.95,cellular,no
41,self-employed,tertiary,981.58,cellular,no
71,technician,tertiary,2147.87,cellular,no
50,management,secondary,2586.7,unknown,no
41,blue-collar,secondary,1182.72,cellular,no
92,management,unknown,2468.43,cellular,no
89,unknown,primary,1097.42,cellular,yes
53,management,primary,2084.37,cellular,yes
55,management,secondary,3987.16,cellular,yes
42,admin.,tertiary,761.63,cellular,yes
35,retired,secondary,580.97,cellular,no
83,services,secondary,1782.44,unknown,no
71,technician,secondary,1584.83,telephone,no
52,management,tertiary,2873.57,cellular,yes
78,management,secondary,2568.78,cellular,no
58,admin.,primary,1242.96,cellular,no
50,blue-collar,secondary,3581.94,cellular,yes
85,retired,secondary,2108.04,cellular,no
50,technician,secondary,2024.03,cellular,yes
31,management,secondary,1430.28,unknown,yes
38,blue-collar,secondary,1903.99,cellular,no
65,management,secondary,3700.86,cellular,no
37,management,secondary,577.51,cellular,yes
25,services,secondary,1349.7,cellular,no
24,retired,tertiary,449.99,cellular,no
84,self-employed,secondary,1688.17,unknown,yes
34,blue-collar,tertiary,1957.11,cellular,no
50,admin.,tertiary,291.85,cellular,no
65,management,secondary,1865.44,cellular,no
93,housemaid,primary,3612.59,cellular,no
76,admin.,tertiary,6186.78,cellular,yes
39,student,secondary,567.96,cellular,no
47,self-employed,primary,2355.91,cellular,no
55,admin.,primary,4196.14,cellular,no
68,self-employed,unknown,679.41,unknown,yes
71,services,tertiary,1019.96,cellular,no
25,unemployed,secondary,4046.42,unknown,no
44,management,secondary,553.65,telephone,no
44,management,tertiary,4358.19,telephone,no
38,retired,unknown,1219.92,cellular,yes
47,blue-collar,tertiary,888.25,unknown,yes
45,admin.,primary,1316.35,cellular,yes
81,management,secondary,757.54,cellular,no
86,technician,secondary,814.65,unknown,no
78,services,primary,1400.29,cellular,no
65,services,tertiary,1547.21,cellular,yes
36,management,unknown,1092.0,cellular,no
21,services,tertiary,150.73,cellular,no
52,admin.,secondary,3582.76,unknown,yes
81,technician,tertiary,1173.37,cellular,no
66,admin.,primary,2871.4,unknown,no
34,management,tertiary,2836.76,unknown,no
61,self-employed,secondary,3586.31,unknown,yes
47,admin.,secondary,1004.11,unknown,yes
63,self-employed,tertiary,3823.03,cellular,no
23,blue-collar,secondary,2311.79,cellular,no
54,retired,tertiary,370.17,cellular,no
41,retired,secondary,2315.44,unknown,yes
63,blue-collar,secondary,136.16,cellular,no
70,admin.,primary,3257.67,unknown,yes
77,management,secondary,1325.6,cellular,no
80,blue-collar,primary,339.3,cellular,yes
49,management,secondary,6248.28,cellular,yes
50,unemployed,unknown,3986.07,cellular,yes
84,admin.,secondary,3307.62,telephone,yes
35,blue-collar,secondary,337.95,unknown,no
42,management,primary,1254.1,cellular,yes
71,management,tertiary,1461.41,cellular,yes
75,services,secondary,1124.95,cellular,no
84,retired,unknown,522.0,cellular,no
63,housemaid,tertiary,1447.51,cellular,no
41,management,unknown,2427.28,unknown,yes
49,blue-collar,tertiary,6853.4,cellular,yes
64,management,secondary,4365.25,cellular,yes
40,admin.,secondary,1677.79,unknown,yes
83,admin.,secondary,1953.62,unknown,no
44,admin.,tertiary,534.99,cellular,no
19,management,secondary,559.42,cellular,yes
34,services,secondary,5658.78,telephone,yes
50,blue-collar,secondary,1906.74,unknown,no
26,blue-collar,secondary,3521.07,unknown,yes
60,admin.,primary,1492.81,cellular,no
65,technician,tertiary,4551.79,cellular,yes
56,technician,tertiary,1288.15,cellular,yes
59,management,unknown,469.09,cellular,no
43,technician,tertiary,5116.91,cellular,yes
67,technician,unknown,1119.66,cellular,no
42,self-employed,secondary,1379.37,telephone,yes
41,blue-collar,secondary,622.19,cellular,no
30,technician,secondary,3953.47,unknown,yes
77,management,secondary,3500.7,unknown,yes
24,services,primary,1064.59,cellular,yes
74,blue-collar,tertiary,30.79,cellular,no
53,management,secondary,994.57,cellular,no
62,technician,tertiary,578.27,unknown,yes
37,blue-collar,tertiary,1762.02,unknown,yes
82,management,secondary,999.42,cellular,no
25,technician,tertiary,452.24,unknown,no
33,management,primary,5054.89,cellular,no
31,management,primary,170.61,cellular,no
93,services,tertiary,832.0,cellular,no
32,technician,secondary,2345.11,unknown,yes
83,management,secondary,3667.44,cellular,yes
49,admin.,secondary,239.6,cellular,no
80,blue-collar,tertiary,2398.79,cellular,yes
68,technician,secondary,2607.13,cellular,no
42,admin.,secondary,4561.77,unknown,no
75,blue-collar,primary,1999.21,cellular,no
80,blue-collar,primary,461.07,cellular,no
79,blue-collar,tertiary,3786.95,unknown,yes
39,management,secondary,2215.74,unknown,yes
75,technician,secondary,654.75,cellular,no
75,blue-collar,secondary,1444.07,cellular,yes
66,blue-collar,tertiary,6098.85,cellular,yes
69,technician,secondary,2761.34,unknown,no
59,housemaid,primary,2902.53,unknown,no
87,admin.,unknown,3532.68,cellular,yes
32,student,secondary,3303.16,unknown,yes
71,entrepreneur,secondary,2694.68,cellular,yes
77,blue-collar,tertiary,966.78,unknown,no
25,self-employed,primary,9923.8,cellular,no
70,blue-collar,primary,614.0,cellular,no
77,technician,secondary,1437.75,unknown,no
22,management,secondary,759.84,cellular,no
85,admin.,tertiary,402.32,unknown,no
23,management,tertiary,2187.18,unknown,yes
64,blue-collar,secondary,1839.57,unknown,yes
72,management,tertiary,1442.37,unknown,no
57,services,tertiary,1182.42,cellular,no
69,management,secondary,1476.45,unknown,no
33,entrepreneur,primary,2329.09,cellular,yes
30,admin.,secondary,1061.52,cellular,no
47,management,tertiary,2617.14,cellular,no
36,technician,tertiary,746.47,unknown,no
34,blue-collar,secondary,907.06,cellular,no
80,admin.,tertiary,1232.78,unknown,no
36,blue-collar,tertiary,3941.89,cellular,yes
75,services,primary,2289.73,cellular,yes
72,technician,secondary,287.84,telephone,no
79,self-employed,tertiary,4377.46,cellular,yes
40,admin.,tertiary,2762.36,unknown,no
26,management,tertiary,3177.01,cellular,yes
29,admin.,primary,1177.25,unknown,no
18,management,secondary,2256.56,unknown,no
75,management,secondary,1159.32,cellular,no
18,services,tertiary,3113.49,cellular,yes
51,technician,secondary,3694.99,cellular,yes
65,management,primary,3407.09,cellular,no
18,blue-collar,tertiary,995.39,unknown,yes
33,blue-collar,secondary,3074.02,cellular,no
78,management,primary,509.98,unknown,no
81,management,secondary,305.09,cellular,no
80,technician,tertiary,1790.11,cellular,yes
86,services,secondary,1802.82,cellular,no
39,technician,secondary,445.95,cellular,no
84,technician,secondary,1616.01,cellular,yes
93,technician,tertiary,430.8,cellular,no
43,management,secondary,1720.8,telephone,yes
33,management,secondary,3295.97,telephone,yes
68,self-employed,secondary,6260.58,cellular,yes
74,technician,secondary,1162.45,cellular,yes
46,retired,primary,7738.18,unknown,no
86,blue-collar,secondary,2520.56,unknown,yes
64,management,primary,3646.32,cellular,yes
79,technician,tertiary,2598.98,unknown,yes
86,technician,tertiary,6962.62,cellular,no
93,admin.,secondary,2800.97,cellular,no
33,services,unknown,1341.97,cellular,yes
65,blue-collar,secondary,2323.75,unknown,yes
56,admin.,tertiary,1965.99,cellular,no
50,technician,unknown,2801.51,cellular,yes
40,blue-collar,primary,5575.0,unknown,yes
27,blue-collar,tertiary,1058.06,unknown,yes
86,management,unknown,1141.48,cellular,no
51,blue-collar,tertiary,1345.93,unknown,no
69,management,secondary,2927.35,unknown,no
27,technician,secondary,2976.2,cellular,yes
36,management,secondary,523.17,cellular,no
75,management,secondary,2480.82,cellular,yes
18,self-employed,tertiary,211.72,telephone,no
86,admin.,tertiary,249.26,unknown,no
21,management,secondary,592.45,cellular,no
33,services,primary,2479.87,cellular,no
41,management,secondary,3851.59,unknown,no
19,admin.,unknown,918.34,cellular,no
49,services,unknown,1370.37,cellular,yes
41,blue-collar,primary,1964.94,cellular,no
29,management,primary,6203.56,unknown,yes
67,management,secondary,3873.82,cellular,no
52,services,tertiary,614.62,cellular,yes
50,services,secondary,1076.16,cellular,yes
50,management,secondary,458.57,unknown,no
78,unemployed,tertiary,1828.93,cellular,no
68,self-employed,secondary,1956.83,cellular,no
60,management,unknown,814.79,cellular,no
29,management,primary,6075.7,unknown,yes
84,unemployed,secondary,1052.1,cellular,no
82,management,tertiary,10244.8,cellular,yes
50,management,secondary,1118.17,cellular,yes
57,technician,primary,905.42,unknown,yes
91,blue-collar,tertiary,867.05,unknown,no
60,management,secondary,343.65,unknown,yes
61,blue-collar,secondary,5475.49,cellular,yes
46,blue-collar,secondary,158.97,cellular,no
30,technician,unknown,2388.46,cellular,no
29,blue-collar,secondary,288.5,cellular,no
63,blue-collar,secondary,644.82,cellular,no
19,services,primary,2876.28,cellular,no
52,technician,primary,4816.2,cellular,no
25,admin.,primary,1129.97,unknown,yes
43,management,tertiary,5235.98,unknown,no
91,services,tertiary,1607.91,unknown,no
51,management,tertiary,1352.62,unknown,yes
24,technician,secondary,3142.76,cellular,yes
85,unemployed,tertiary,739.08,unknown,no
75,technician,secondary,646.24,cellular,no
92,technician,secondary,1818.92,cellular,no
46,management,primary,1918.9,cellular,yes
53,management,secondary,444.11,cellular,no
38,technician,primary,261.73,cellular,no
53,technician,secondary,2515.17,cellular,no
27,technician,secondary,2025.18,telephone,yes
90,blue-collar,tertiary,1002.96,unknown,no
41,blue-collar,tertiary,3507.18,telephone,no
81,management,tertiary,2067.6,unknown,yes
66,blue-collar,primary,2811.02,telephone,yes
53,blue-collar,secondary,4079.32,cellular,yes
41,technician,primary,3057.57,cellular,no
40,self-employed,secondary,1083.14,cellular,no
79,blue-collar,primary,3307.17,cellular,yes
54,technician,secondary,1189.32,unknown,no
29,technician,primary,1935.28,cellular,no
72,technician,tertiary,1318.76,cellular,yes
30,technician,secondary,1079.78,cellular,no
40,blue-collar,primary,490.54,cellular,no
47,management,secondary,2138.34,unknown,yes
34,blue-collar,secondary,1533.9,cellular,no
79,blue-collar,primary,3151.37,unknown,no
30,retired,secondary,2125.59,unknown,yes
76,blue-collar,secondary,535.54,cellular,no
36,admin.,tertiary,1418.41,telephone,no
66,services,primary,1975.01,telephone,no
29,retired,secondary,4407.66,cellular,yes
78,admin.,tertiary,339.14,unknown,yes
36,admin.,tertiary,1879.78,cellular,yes
93,unemployed,primary,3396.38,telephone,yes
26,blue-collar,primary,231.0,cellular,no
88,technician,tertiary,649.57,unknown,no
45,blue-collar,tertiary,2109.21,cellular,yes
69,blue-collar,secondary,421.8,unknown,no
33,services,secondary,3100.79,cellular,yes
86,admin.,tertiary,1487.56,cellular,yes
29,self-employed,unknown,5365.77,telephone,yes
42,services,tertiary,859.75,unknown,yes
69,admin.,secondary,2431.21,unknown,yes
70,management,secondary,2168.85,cellular,yes
40,blue-collar,tertiary,3510.58,unknown,no
33,technician,tertiary,2195.53,unknown,yes
74,technician,tertiary,1596.12,cellular,no
56,technician,tertiary,3019.96,unknown,no
70,student,secondary,7383.28,cellular,yes
59,technician,primary,1995.22,unknown,no
75,management,tertiary,2530.85,cellular,yes
56,unknown,secondary,1010.36,cellular,no
31,technician,secondary,1802.44,unknown,yes
22,student,primary,1602.63,cellular,no
52,self-employed,primary,1949.72,unknown,no
92,entrepreneur,secondary,4567.21,unknown,yes
35,technician,secondary,1129.08,cellular,yes
93,retired,secondary,2041.23,cellular,no
26,blue-collar,secondary,4516.31,cellular,yes
91,student,tertiary,4136.54,cellular,yes
75,technician,tertiary,3464.43,cellular,yes
34,blue-collar,tertiary,1973.01,cellular,yes
24,services,tertiary,1300.92,cellular,yes
63,technician,secondary,416.72,unknown,no
30,management,secondary,827.84,cellular,no
57,blue-collar,secondary,1082.15,cellular,no
59,management,secondary,451.76,cellular,no
26,management,secondary,1260.52,cellular,no
67,student,tertiary,4534.34,cellular,yes
44,management,primary,1290.36,unknown,no
83,retired,tertiary,337.35,cellular,no
22,services,primary,194.86,cellular,no
46,management,tertiary,218.88,cellular,no
54,blue-collar,tertiary,375.63,cellular,no
55,self-employed,secondary,7224.8,unknown,no
25,management,unknown,1554.05,cellular,yes
82,blue-collar,secondary,4768.78,cellular,yes
34,admin.,secondary,38.57,cellular,no
88,technician,secondary,2284.28,telephone,yes
62,management,unknown,2786.92,cellular,yes
21,admin.,unknown,413.52,cellular,no
53,technician,tertiary,4082.07,cellular,no
87,management,tertiary,3993.82,unknown,yes
48,admin.,tertiary,767.95,cellular,no
36,technician,unknown,1129.99,cellular,no
78,management,tertiary,1113.81,unknown,no
71,management,primary,1106.86,cellular,yes
56,unknown,secondary,2851.15,unknown,no
91,retired,secondary,575.19,cellular,yes
36,management,primary,835.18,cellular,no
56,self-employed,secondary,2189.36,telephone,yes
84,blue-collar,primary,999.81,cellular,no
62,technician,tertiary,3787.33,unknown,yes
30,technician,primary,643.74,unknown,no
75,blue-collar,secondary,237.47,cellular,no
37,management,tertiary,3358.92,cellular,yes
89,blue-collar,secondary,562.38,cellular,no
78,blue-collar,tertiary,358.35,cellular,no
56,retired,tertiary,1070.06,cellular,no
18,student,unknown,651.19,unknown,no
20,management,tertiary,1002.99,cellular,no
94,admin.,secondary,527.02,cellular,no
79,blue-collar,primary,425.26,cellular,yes
80,technician,secondary,2316.06,cellular,yes
42,blue-collar,secondary,523.37,unknown,yes
73,self-employed,secondary,6233.36,cellular,yes
50,blue-collar,primary,2233.54,cellular,yes
55,management,secondary,2064.37,telephone,no
23,management,secondary,3020.55,cellular,yes
75,services,primary,1457.68,unknown,yes
61,services,primary,2827.96,cellular,yes
62,retired,secondary,4248.06,cellular,yes
49,blue-collar,tertiary,437.91,cellular,no
62,blue-collar,primary,7515.17,cellular,no
78,technician,secondary,108.26,telephone,no
64,management,primary,1299.94,cellular,yes
38,blue-collar,tertiary,2384.78,cellular,no
92,management,tertiary,594.06,cellular,no
53,management,secondary,2101.74,cellular,yes
36,blue-collar,tertiary,3119.85,cellular,no
37,blue-collar,secondary,5066.49,cellular,no
74,management,tertiary,1160.81,cellular,no
35,housemaid,secondary,9208.91,cellular,yes
64,technician,secondary,950.97,telephone,no
66,student,secondary,3080.6,cellular,yes
31,admin.,primary,1279.46,cellular,no
32,admin.,secondary,1519.55,cellular,no
48,housemaid,secondary,1947.78,unknown,yes
18,technician,secondary,3011.32,unknown,yes
71,blue-collar,tertiary,1046.29,unknown,yes
20,blue-collar,secondary,1213.85,cellular,no
33,unemployed,tertiary,4698.95,unknown,no
74,student,secondary,1044.35,telephone,no
92,services,secondary,692.83,cellular,no
29,blue-collar,tertiary,2395.04,unknown,no
91,admin.,primary,804.45,unknown,no
33,management,secondary,2930.9,cellular,yes
89,unemployed,secondary,1640.06,cellular,yes
93,services,secondary,838.84,cellular,no
41,management,tertiary,296.71,cellular,yes
45,management,secondary,411.45,cellular,no
25,retired,primary,1869.04,telephone,no
53,student,secondary,1046.83,cellular,no
25,admin.,secondary,3282.53,cellular,no
75,management,secondary,1281.43,cellular,yes
77,entrepreneur,tertiary,768.28,cellular,no
67,management,tertiary,3148.68,unknown,yes
45,admin.,secondary,1586.39,cellular,yes
58,management,primary,2604.2,cellular,no
81,services,secondary,1774.04,cellular,no
44,technician,tertiary,522.24,cellular,no
80,unemployed,tertiary,1829.17,unknown,no
34,management,secondary,1210.62,cellular,yes
90,self-employed,primary,1037.02,cellular,no
50,blue-collar,primary,4220.02,cellular,no
94,blue-collar,secondary,890.27,cellular,yes
46,admin.,tertiary,1660.74,cellular,no
30,management,secondary,1586.51,cellular,yes
63,technician,tertiary,359.08,cellular,no
52,housemaid,secondary,998.48,cellular,no
23,technician,primary,1671.01,cellular,no
86,services,secondary,903.38,cellular,no
64,management,secondary,2081.14,cellular,yes
42,technician,secondary,2768.97,cellular,no
83,technician,secondary,377.53,cellular,yes
27,management,tertiary,471.06,cellular,no
73,admin.,secondary,3443.51,unknown,yes
47,admin.,tertiary,4013.0,cellular,no
22,management,secondary,843.65,cellular,yes
50,blue-collar,tertiary,3303.23,cellular,no
82,management,tertiary,500.51,unknown,no
35,management,unknown,874.61,cellular,yes
66,management,unknown,2986.57,cellular,no
28,services,primary,3847.95,cellular,no
43,self-employed,tertiary,411.14,unknown,no
80,admin.,secondary,312.96,unknown,no
76,blue-collar,tertiary,604.53,unknown,yes
44,housemaid,unknown,716.91,cellular,no
66,blue-collar,secondary,2620.62,cellular,yes
94,technician,tertiary,1281.69,cellular,no
50,services,secondary,1136.69,cellular,no
18,blue-collar,tertiary,1738.04,unknown,yes
38,admin.,secondary,3362.99,telephone,no
72,blue-collar,tertiary,2011.58,cellular,yes
23,blue-collar,tertiary,4930.3,unknown,yes
86,blue-collar,unknown,5271.61,cellular,yes
22,admin.,tertiary,597.21,cellular,no
20,blue-collar,primary,3049.28,cellular,yes
70,blue-collar,secondary,2914.85,cellular,yes
40,unemployed,secondary,1571.55,unknown,yes
70,admin.,secondary,704.87,unknown,yes
54,admin.,secondary,1615.5,cellular,no
91,management,secondary,1720.89,unknown,yes
91,technician,tertiary,1929.5,unknown,yes
34,management,tertiary,1004.62,cellular,yes
90,housemaid,tertiary,1797.39,cellular,no
18,management,secondary,1320.76,unknown,yes
68,unemployed,secondary,988.21,unknown,no
62,admin.,tertiary,872.03,telephone,yes
94,technician,secondary,1836.59,cellular,no
21,admin.,secondary,853.89,cellular,yes
79,services,secondary,530.92,unknown,no
82,housemaid,secondary,514.08,cellular,no
49,admin.,secondary,385.21,unknown,no
51,retired,secondary,595.54,cellular,no
89,management,secondary,3019.37,cellular,yes
56,self-employed,tertiary,2898.19,cellular,yes
43,technician,secondary,2032.11,cellular,yes
51,technician,secondary,1107.98,cellular,no
71,admin.,primary,1822.07,unknown,yes
20,management,tertiary,4959.29,cellular,no
67,technician,secondary,377.24,cellular,no
29,entrepreneur,primary,1902.8,telephone,no
82,retired,secondary,3963.23,cellular,no
71,retired,secondary,2343.95,cellular,yes
22,management,unknown,569.89,cellular,no
74,admin.,primary,1478.39,cellular,yes
34,management,secondary,97.85,cellular,no
64,student,tertiary,1770.78,telephone,no
40,unemployed,tertiary,1537.99,cellular,no
31,housemaid,secondary,2521.07,unknown,yes
83,blue-collar,secondary,620.45,cellular,yes
92,admin.,secondary,2805.07,telephone,no
68,technician,primary,2202.65,cellular,no
55,admin.,secondary,1272.61,unknown,yes
